"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr1293","UK Biodiversity Action Plan Invertebrate Data for Wales","doi:10.15468/3qrrks","Natural Resources Wales.  ([Insert year of download])  UK Biodiversity Action Plan Invertebrate Data for Wales. Occurrence dataset accessed through the NBNAtlas","Open Government Licence (OGL) © CNC/NRW
Data may be re-used under the terms of the Open Government Licence providing it is done so, acknowledging both the source and NRW's copyright. It is the recipient's responsibility to ensure the data is fit for the intended purpose.

Attribution statement: Contains Natural Resources Wales information © Natural Resources Wales and Database Right. All rights Reserved.","For more information:  https://registry.nbnatlas.org/public/show/dr1293","","","","1"
"dr1970","Woodmeadow Invertebrate Survey 2017","10.15468/14uuhu","Three Hagges Wood-Meadow, near Riccall, North Yorkshire, invertebrate survey 2017 (2019)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1970","","","","15"
"dr1175","Bringing Reedbeds to Life Invertebrate Survey of three key reedbed sites in England in 2009, 2010","doi:10.15468/919amh","Royal Society for the Protection of Birds ([Insert download year]). Bringing Reedbeds to Life Invertebrate Survey of three key reedbed sites in England in 2009, 2010. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr1175","","","","21"
"dp121","Suffolk Biodiversity Information Service","","Records provided by Suffolk Biodiversity Information Service, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp121","","","","2994"
"dr1335","Gloucestershire Historic Wildlife Sightings prior to 1st Jan 2000","doi:10.15468/dgf5es","Gloucestershire Centre for Environmental Records ([Insert download year]). Gloucestershire Historic Wildlife Sightings prior to 1st Jan 2000. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr1335","","","","115"
"dp122","Natural Resources Wales","","Records provided by Natural Resources Wales, accessed through NBN Atlas website.","","For more information: email nbnadmin@cyfoethnaturiolcymru.gov.uk, or https://registry.nbnatlas.org/public/show/dp122","","","","5775"
"dr1971","Woodmeadow Invertebrate Survey 2018","10.15468/f4n4wf","Woodmeadow Invertebrate Survey 2018, Woodmeadow Trust (2019)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1971","","","","11"
"dp123","North East Scotland Biological Records Centre","","Records provided by North East Scotland Biological Records Centre, accessed through NBN Atlas website.","","For more information: email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dp123","","","","380"
"dr1212","Welsh Invertebrate Database (WID)","doi:10.15468/bv8fcj","Natural Resources Wales.  ([Insert year of download])  Welsh Invertebrate Database (WID). Occurrence dataset accessed through the NBNAtlas","Open Government Licence (OGL) © CNC/NRW
Data may be re-used under the terms of the Open Government Licence providing it is done so, acknowledging both the source and NRW's copyright. It is the recipient's responsibility to ensure the data is fit for the intended purpose.

Attribution statement: Contains Natural Resources Wales information © Natural Resources Wales and Database Right. All rights Reserved.","For more information:  https://registry.nbnatlas.org/public/show/dr1212","","","","5472"
"dr2785","A.T. Sumner's Records","","The Wildlife Information Centre ([Insert download year]). A.T. Sumner's Records. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2785","","","","8"
"dr1333","SNH Invertebrate Site Condition Monitoring 2015-16: Crannach Wood SSSI","doi:10.15468/qrfcge","Caledonian Conservation ([Insert download year]). SNH Invertebrate Site Condition Monitoring 2015-16: Crannach Wood SSSI. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr1333","","","","6"
"dr1216","Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups","doi:10.15468/d3tufo","Rotherham Biological Records Centre ([Insert download year]). Non-sensitive Records from all taxonomic groups. Occurrence dataset on the NBN Atlas.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email Paul.Leonard@rotherham.gov.uk, or https://registry.nbnatlas.org/public/show/dr1216","","","","1209"
"dr782","Shropshire Ecological Data Network database","doi:10.15468/5v5pvk","Shropshire Ecological Data Network ([Insert download year]). Shropshire Ecological Data Network database. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email alex.lockton@gmail.com, or https://registry.nbnatlas.org/public/show/dr782","","","","726"
"dp120","Shropshire Ecological Data Network","","Records provided by Shropshire Ecological Data Network, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp120","","","","726"
"dr2548","2012-2014 Orkney Islands Council Marine Non-Native Species Monitoring Programme - Version 2.1","https://doi.org/10.17031/nsobqc","Orkney Islands Council, Department of Harbours (OIC) (2018): 2012-2014 Orkney Islands Council Marine Non-Native Species Monitoring Programme. v2.1. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/nsobqc","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2548","","","","1"
"dr703","Dorset SSSI Species Records 1952 - 2004 (Natural England)","doi:10.15468/vcjzts","Dorset Environmental Records Centre ([Insert download year]). Dorset SSSI Species Records 1952 - 2004 (Natural England). Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email derc@dorsetcc.gov.uk , or https://registry.nbnatlas.org/public/show/dr703","","","","31"
"dr309","Records from the RHS insect reference collection","doi:10.15468/b7sk69","Royal Horticultural Society ([Insert download year]). Records from the RHS insect reference collection. Dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email andrewsalisbury@rhs.org.uk, or https://registry.nbnatlas.org/public/show/dr309","","","","32"
"dp126","South East Wales Biodiversity Records Centre","","Records provided by South East Wales Biodiversity Records Centre, accessed through NBN Atlas website.","","For more information: email info@sewbrec.org.uk, or https://registry.nbnatlas.org/public/show/dp126","","","","300"
"dr303","SNH Invertebrate Site Condition Monitoring 2013/14: Ben Lomond SSSI","doi:10.15468/srj4pt","Caledonian Conservation Ltd","Open Government Licence (OGL) OGL","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr303","","","","3"
"dr822","RHS monitoring of native and naturalised plants and animals at its gardens and surrounding areas","doi:10.15468/mjksef","Royal Horticultural Society ([Insert download year]). RHS monitoring of native and naturalised plants and animals at its gardens and surrounding areas. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email andrewsalisbury@rhs.org.uk, or https://registry.nbnatlas.org/public/show/dr822","","","","56"
"dr938","BRERC species records from all years at full resolution excluding Notable Species within the last 10 years","doi:10.15468/h1ln5p","Bristol Regional Environmental Records Centre ([Insert download year]). BEREC species records from all years at full resolution excluding Notable Species within the last 10 years. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) BRERC retains copyright. The data is provided via the NBN Atlas for non-commercial purposes.","For more information: email info@brerc.org.uk, or https://registry.nbnatlas.org/public/show/dr938","","","","702"
"dr817","St Andrews BioBlitz 2016","10.15468/146yiz","Fife Nature Records Centre ([Insert download year]). St Andrews BioBlitz 2016. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email nature.info@fife.gov.uk, or https://registry.nbnatlas.org/public/show/dr817","","","","1"
"dr819","Argyll Biological Records Dataset","doi:10.15468/ejve6c","Argyll Biological Records Centre ([Insert year of download]). Argyll Biological Records Dataset. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr819","","","","504"
"dp83","Natural England","","Records provided by Natural England, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp83","","","","622"
"dp80","Marine Biological Association","","Records provided by Marine Biological Association, accessed through NBN Atlas website.","","For more information: email dassh.enquiries@mba.ac.uk, or https://registry.nbnatlas.org/public/show/dp80","","","","4"
"dr1742","Patrick Roper’s Notebooks","doi:10.15468/ntnedq","Records provided by Patrick Roper’s Notebooks, accessed through NBN Atlas website.","Creative Commons Zero v1.0 (CC0)","For more information:  https://registry.nbnatlas.org/public/show/dr1742","","For further detail please contact Penny Green at the Sussex Biodiversity Record Centre: pennygreen@sussexwt.org.uk  The SxBRC offers a comprehensive reporting service, the different search options can be viewed on the SxBRC website and you can download an information request form on which you can submit your enquiry: www.sxbrc.org.uk .

The data can be viewed at a 1km resolution however the full details may be obtained directly from the Sussex Biodiversity Record Centre on request. This is to protect the interests of our data providers and to enable us to keep functioning as a not-for-profit data-gathering organisation. An adminstrative charge may be made at the point of enquiry.","","81"
"dr2677","Collection Specimens","https://doi.org/10.5519/0002965","Natural History Museum (2023). Data Portal query on 1 resources https://doi.org/10.5519/qd.i4tk4lrk","Creative Commons Zero v1.0 (CC0) CC0-1.0","For more information: email data@nhm.ac.uk, or https://registry.nbnatlas.org/public/show/dr2677","","","","245"
"dr2556","1915-2016 Department for Environment Food & Rural Affairs (Defra), Marine Strategy Framework Directive (MSFD) Collation of invasive non-indigenous species - Version 2.3","https://doi.org/10.17031/f0vfo3","Department for Environment Food and Rural Affairs (Defra) (2018): 1915-2016 Department for Environment Food & Rural Affairs (Defra), Marine Strategy Framework Directive (MSFD) Collation of invasive non-indigenous species. v2.3. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/f0vfo3","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2556","","","","1"
"dr772","Insects, Outer Hebrides","doi:10.15468/lbnrps","Outer Hebrides Biological Recording ([Insert download year]). Insects, Outer Hebrides. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr772","","","","285"
"dp111","Merseyside BioBank","","Records provided by Merseyside BioBank, accessed through NBN Atlas website.","","For more information: email info@merseysidebiobank.org.uk, or https://registry.nbnatlas.org/public/show/dp111","","","","19"
"dp112","Isle of Wight Local Records Centre","","Records provided by Isle of Wight Local Records Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp112","","","","4"
"dr493","Lothian Wildlife Information Centre Secret Garden Survey","doi:10.15468/k8goct","The Wildlife Information Centre ([Insert download year]). Lothian Wildlife Information Centre Secret Garden Survey. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr493","","","","1"
"dp118","Norfolk Biodiversity Information Service","","Records provided by Norfolk Biodiversity Information Service, accessed through NBN Atlas website.","","For more information: email enquiries.nbis@norfolk.gov.uk, or https://registry.nbnatlas.org/public/show/dp118","","","","7276"
"dp239","Sheffield and Rotherham Wildlife Trust","","Records provided by Sheffield and Rotherham Wildlife Trust, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp239","","","","5"
"dr814","Isle of Wight Notable Species","doi:10.15468/sm4ety","Isle of Wight Local Records Centre ([Insert download year]). Isle of Wight Notable Species. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email lrc@iow.gov.uk, or https://registry.nbnatlas.org/public/show/dr814","","","","4"
"dr898","SEWBReC Bees, Wasps and Ants (South East Wales)","doi:10.15468/vectrq","Records provided by SEWBReC Bees, Wasps and Ants (South East Wales), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email info@sewbrec.org.uk, or https://registry.nbnatlas.org/public/show/dr898","","","","299"
"dp115","Manx Biological Recording Partnership","","Records provided by Manx Biological Recording Partnership, accessed through NBN Atlas website.","","For more information: email philippa.tomlinson@gov.im, or https://registry.nbnatlas.org/public/show/dp115","","","","15"
"dp116","National Trust","","Records provided by National Trust, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp116","","","","2231"
"dr1233","SNH Invertebrate Site Condition Monitoring 2015-16: Rum SSSI","doi:10.15468/sgiez0","Caledonian Conservation ([Insert download year]). SNH Invertebrate Site Condition Monitoring 2015-16: Rum SSSI. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr1233","","","","37"
"dr1197","RECORD Aculeate Hymenoptera Data","doi:10.15468/msskwi","RECORD ([Insert download year]). RECORD Aculeate Hymenoptera Data. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email enquiry@record-lrc.co.uk, or https://registry.nbnatlas.org/public/show/dr1197","","","","659"
"dr1236","National Trust Species Records","doi:10.15468/opc6g1","National Trust ([Insert download year]). National Trust Species Records. Occurrence dataset on the NBN Atlas","Creative Commons Zero v1.0 (CC0) CC0","For more information:  https://registry.nbnatlas.org/public/show/dr1236","","","","2231"
"dr321","SNH Invertebrate Site Condition Monitoring 2013/14: Black Wood of Rannoch SSSI","doi:10.15468/vue3gs","Caledonian Conservation Ltd","Open Government Licence (OGL) OGL","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr321","","","","18"
"dp266","Natural History Museum, London","","Records provided by Natural History Museum, London, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp266","","","","245"
"dr840","Fife Nature Records Centre combined dataset","10.15468/ccc1ip","Fife Nature Records Centre ([Insert download year]). Fife Nature Records Centre combined dataset. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr840","","","","28"
"dr323","SNH Invertebrate Site Condition Monitoring 2013/14: Earlshall Muir SSSI","doi:10.15468/9dk3dk","Caledonian Conservation Ltd","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr323","","","","2"
"dr1515","Ron McBeath records (2010 - 2014)","10.15468/jff6ct","The Wildlife Information Centre ([Insert download year]). Ron McBeath records (2010 - 2014). Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr1515","","","","6"
"dr689","Dorset Sites of Nature Conservation Interest (SNCI) species records pre 2000","doi:10.15468/qyg29v","Dorset Environmental Records Centre ([Insert download year]). Dorset Sites of Nature Conservation Interest (SNCI) species records pre 2000. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email derc@dorsetcc.gov.uk , or https://registry.nbnatlas.org/public/show/dr689","","","","2"
"dr721","Invertebrate Common Standards Monitoring and ISIS Test Data","doi:10.15468/epw9ym","Natural England ([Insert download year]). Invertebrate Common Standards Monitoring and ISIS Test Data. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information:  https://registry.nbnatlas.org/public/show/dr721","","","","505"
"dr965","HBRG Insects Dataset Vol 1","doi:10.15468/u1p4wc","Highland Biological Recording Group ([Insert year of download]). HBRG Insects Dataset Vol 1. Occurrence dataset accessed through the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email records@hbrg.org.uk, or https://registry.nbnatlas.org/public/show/dr965","","","","4319"
"dr1241","WTSWW Data: All Taxa (West Wales)","doi:10.15468/gaakk2","West Wales Biodiversity Information Centre ([Insert download year]). WTSWW Data: All Taxa (West Wales). Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email Kate.jones@wwbic.org.uk, or https://registry.nbnatlas.org/public/show/dr1241","","","","77"
"dr1363","Invertebrate records from sites that are mainly across Scotland","doi:10.15468/aaxvmc","Buglife ([Insert download year]). Invertebrate records from sites that are mainly across Scotland. Occurrence record dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1363","Records from various invertebrtae surveys from 2000. Data set includes historic records of Glow worm and Oil beetles from across Scotland dating from 1869.","","","264"
"dr1484","2017 North Devon Area of Outstanding Natural Beauty (AONB) Combe Martin Devon Bioblitz","doi:10.15468/ll74l2","Records provided by 2017 North Devon Area of Outstanding Natural Beauty (AONB) Combe Martin Devon Bioblitz, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY","For more information:  https://registry.nbnatlas.org/public/show/dr1484","Further information about the survey event can be sought from the Coastal Creatures project manager the at North Devon Area of Outstanding Natural Beauty (AONB)","","","2"
"dr1522","LWIC - Local Patch Project","10.15468/4q5ynf","The Wildlife Information Centre ([Insert download year]). LWIC - Local Patch Project. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr1522","","","","2"
"dr2579","Manx Wildlife Trust - Records","10.15468/4hydf5","Data supplied by Manx Wildlife Trust","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information: email enquiries@mwt.im, or https://registry.nbnatlas.org/public/show/dr2579","","","","15"
"dr1402","Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups","doi:10.15468/2razk5","Records provided by Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1402","","","","171"
"dp133","Record","","Records provided by Record, accessed through NBN Atlas website.","","For more information: email Info@record-lrc.co.uk, or https://registry.nbnatlas.org/public/show/dp133","","","","659"
"dr1248","NRW Regional Data: North Wales","doi:10.15468/krljpu","Cofnod – North Wales Environmental Information Service ([Insert download year]). NRW Regional Data: North Wales. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information: email record@cofnod.org.uk, or https://registry.nbnatlas.org/public/show/dr1248","","","","7"
"dr2730","HBRG Insects Dataset Vol 2","","Highland Biological Recording Group ([Insert download year]). HBRG Insects Dataset Vol 2. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2730","","","","53"
"dr670","HeathNet data","doi:10.15468/ikmfii","Biological Records Centre ([Insert download year]). HeathNet data. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email brc@ceh.ac.uk, or https://registry.nbnatlas.org/public/show/dr670","","","","4"
"dp130","Yorkshire Wildlife Trust","","Records provided by Yorkshire Wildlife Trust, accessed through NBN Atlas website.","","For more information: email info@ywt.org.uk, or https://registry.nbnatlas.org/public/show/dp130","","","","171"
"dp131","Cofnod – North Wales Environmental Information Service","","Records provided by Cofnod – North Wales Environmental Information Service, accessed through NBN Atlas website.","","For more information: email contactus@cofnod.org.uk, or https://registry.nbnatlas.org/public/show/dp131","","","","249"
"dp137","Gloucestershire Centre for Environmental Records","","Records provided by Gloucestershire Centre for Environmental Records, accessed through NBN Atlas website.","","For more information: email gcer@gloucestershirewildlifetrust.co.uk, or https://registry.nbnatlas.org/public/show/dp137","","","","115"
"dp259","Nottinghamshire Wildlife Trust","","Records provided by Nottinghamshire Wildlife Trust, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp259","","","","1"
"dp139","Centre for Environmental Data and Recording","","Records provided by Centre for Environmental Data and Recording, accessed through NBN Atlas website.","","For more information: email cedar.info@nmni.com, or https://registry.nbnatlas.org/public/show/dp139","","","","99"
"dr316","SNH Invertebrate Site Condition Monitoring 2013/14: Crathie Wood SSSI","doi:10.15468/h1cw6o","Caledonian Conservation Ltd","Open Government Licence (OGL) OGL","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr316","","","","10"
